name,team_id,origin_id
Victor Wembanyama,30,685
Brandon Miller,12,448
Scoot Henderson,19,8
Amen Thompson,27,20
Ausar Thompson,8,20
Anthony Black,14,452
Bilal Coulibaly,15,685
Jarace Walker,9,480
Taylor Hendricks,20,465
Cason Wallace,18,487
Jett Howard,14,499
Dereck Lively II,26,146
Gradey Dick,5,486
Jordan Hawkins,29,470
