name,team_id,origin_id
Stephen Curry,21,138
Kevin Durant,24,548
Kyrie Irving,26,146
Anthony Davis,26,487
Russell Westbrook,16,95
Nikola Jokić,16,779
James Harden,22,43
Kawhi Leonard,22,376
Jimmy Butler,21,260
Joel Embiid,4,486
Jayson Tatum,1,146
Donovan Mitchell,7,491
Bradley Beal,24,476
Paul George,4,92 
